kind,thickness_frac_of_tuning,thickness_m,il_center,xl_center,confidence,is_dhi,tier
thick_bed,1.5,10.571428571428571,251,429,0.931062638759613,True,
thick_bed,1.5,10.571428571428571,433,778,0.984870195388794,True,
thick_bed,1.5,10.571428571428571,688,855,0.42347824573516846,False,
thick_bed,1.5,10.571428571428571,247,922,0.9581435322761536,True,
thick_bed,1.5,10.571428571428571,310,1152,0.060162194073200226,False,
thick_bed,1.5,10.571428571428571,660,1210,0.30545467138290405,False,
thick_bed,2.0,14.095238095238095,251,429,0.5573450922966003,True,
thick_bed,2.0,14.095238095238095,433,778,0.9859062433242798,True,
thick_bed,2.0,14.095238095238095,688,855,0.3819441497325897,False,
thick_bed,2.0,14.095238095238095,247,922,0.9120161533355713,True,
thick_bed,2.0,14.095238095238095,310,1152,0.05834032595157623,False,
thick_bed,2.0,14.095238095238095,660,1210,0.15955200791358948,False,
thick_bed,2.5,17.61904761904762,251,429,0.3893633782863617,False,
thick_bed,2.5,17.61904761904762,433,778,0.9715536832809448,True,
thick_bed,2.5,17.61904761904762,688,855,0.40311577916145325,False,
thick_bed,2.5,17.61904761904762,247,922,0.9602266550064087,True,
thick_bed,2.5,17.61904761904762,310,1152,0.06750776618719101,False,
thick_bed,2.5,17.61904761904762,660,1210,0.15955200791358948,False,
thick_bed,3.0,21.142857142857142,251,429,0.8537261486053467,True,
thick_bed,3.0,21.142857142857142,433,778,0.9669737219810486,True,
thick_bed,3.0,21.142857142857142,688,855,0.4902137219905853,False,
thick_bed,3.0,21.142857142857142,247,922,0.9676182866096497,True,
thick_bed,3.0,21.142857142857142,310,1152,0.08860854059457779,False,
thick_bed,3.0,21.142857142857142,660,1210,0.31938502192497253,False,
thick_bed,3.5,24.666666666666664,251,429,0.9471436738967896,True,
thick_bed,3.5,24.666666666666664,433,778,0.9791622161865234,True,
thick_bed,3.5,24.666666666666664,688,855,0.40311577916145325,False,
thick_bed,3.5,24.666666666666664,247,922,0.8989370465278625,True,
thick_bed,3.5,24.666666666666664,310,1152,0.06750776618719101,False,
thick_bed,3.5,24.666666666666664,660,1210,0.3298737704753876,False,
dim_spot,,,251,429,0.8983561396598816,True,1.0
dim_spot,,,433,778,0.5083320140838623,True,1.0
dim_spot,,,153,469,0.22031934559345245,False,1.0
dim_spot,,,688,855,0.06175606697797775,False,1.0
dim_spot,,,522,995,0.01075692381709814,False,1.0
dim_spot,,,247,922,0.6469054222106934,True,1.0
dim_spot,,,310,1152,0.11608467251062393,False,1.0
dim_spot,,,660,1210,0.01955745741724968,False,1.0
dim_spot,,,251,429,0.8081915378570557,True,2.0
dim_spot,,,433,778,0.5083320140838623,True,2.0
dim_spot,,,153,469,0.2996029257774353,False,2.0
dim_spot,,,688,855,0.10822781175374985,False,2.0
dim_spot,,,522,995,0.010552250780165195,False,2.0
dim_spot,,,247,922,0.685978889465332,True,2.0
dim_spot,,,310,1152,0.09983587265014648,False,2.0
dim_spot,,,660,1210,0.024845972657203674,False,2.0
dim_spot,,,251,429,0.33286044001579285,False,3.0
dim_spot,,,433,778,0.5619431138038635,True,3.0
dim_spot,,,153,469,0.30752110481262207,False,3.0
dim_spot,,,688,855,0.06716356426477432,False,3.0
dim_spot,,,522,995,0.01176189724355936,False,3.0
dim_spot,,,247,922,0.7193398475646973,True,3.0
dim_spot,,,310,1152,0.09344734996557236,False,3.0
dim_spot,,,660,1210,0.026580439880490303,False,3.0
dim_spot,,,251,429,0.16887158155441284,False,4.0
dim_spot,,,433,778,0.43766212463378906,False,4.0
dim_spot,,,153,469,0.10815849900245667,False,4.0
dim_spot,,,688,855,0.06175606697797775,False,4.0
dim_spot,,,522,995,0.010471927002072334,False,4.0
dim_spot,,,247,922,0.6546180248260498,True,4.0
dim_spot,,,310,1152,0.10728873312473297,False,4.0
dim_spot,,,660,1210,0.024845972657203674,False,4.0
